pubmed - Dengue
year,count
2019,712
2018,1876
2017,1791
2016,1794
2015,1525
2014,1461
2013,1294
2012,1065
2011,941
2010,794
2009,733
2008,654
2007,549
2006,517
2005,430
2004,344
2003,329
2002,280
2001,246
2000,238
1999,214
1998,219
1997,183
1996,151
1995,146
1994,155
1993,140
1992,105
1991,106
1990,107
1989,112
1988,84
1987,115
1986,77
1985,65
1984,83
1983,80
1982,71
1981,67
1980,59
1979,73
1978,51
1977,55
1976,48
1975,56
1974,46
1973,63
1972,50
1971,38
1970,52
1969,46
1968,28
1967,44
1966,46
1965,43
1964,38
1963,18
1962,4
1961,7
1960,5
1959,5
1958,13
1957,8
1956,18
1955,4
1954,9
1953,6
1952,10
1951,2
1950,4
1948,16
1947,7
1946,17
1945,11
1937,3
1936,1
1933,1
1932,1
1928,1
1926,2
1925,2
1924,3
1923,3
1921,1
1919,3
1918,1
1916,1
1913,5
1912,2
1911,1
1910,1
1909,4
1908,2
1907,1
1906,1
1903,1
1902,4
1896,1
1891,1
1890,4
1885,1
1882,4
1881,1
1880,4
1879,4
1877,2
1874,1
1873,5
1872,12
1871,1
1867,1
1852,1

