pubmed - "Japanese encephalitis"
year,count
2019,93
2018,236
2017,233
2016,216
2015,209
2014,232
2013,215
2012,205
2011,189
2010,165
2009,169
2008,158
2007,127
2006,121
2005,112
2004,104
2003,134
2002,100
2001,77
2000,85
1999,75
1998,62
1997,69
1996,52
1995,58
1994,73
1993,57
1992,46
1991,59
1990,61
1989,77
1988,54
1987,48
1986,51
1985,49
1984,49
1983,56
1982,41
1981,27
1980,30
1979,15
1978,16
1977,40
1976,31
1975,62
1974,39
1973,35
1972,21
1971,31
1970,37
1969,41
1968,54
1967,62
1966,44
1965,35
1964,46
1963,39
1962,35
1961,21
1960,18
1959,27
1958,23
1957,18
1956,22
1955,9
1954,25
1953,13
1952,13
1951,11
1950,14
1949,8
1948,10
1947,13
1946,8
1945,2

