pubmed - "west nile"
year,count
2019,193
2018,399
2017,410
2016,431
2015,385
2014,432
2013,450
2012,360
2011,392
2010,368
2009,333
2008,366
2007,389
2006,409
2005,378
2004,405
2003,379
2002,198
2001,195
2000,91
1999,32
1998,14
1997,12
1996,16
1995,13
1994,26
1993,21
1992,16
1991,24
1990,18
1989,28
1988,27
1987,25
1986,35
1985,20
1984,14
1983,18
1982,20
1981,13
1980,15
1979,23
1978,13
1977,26
1976,20
1975,26
1974,16
1973,25
1972,16
1971,25
1970,22
1969,29
1968,31
1967,21
1966,15
1965,11
1964,8
1963,9
1962,2
1961,4
1960,7
1959,11
1958,17
1957,8
1956,7
1955,8
1954,9
1953,8
1952,3
1951,8
1950,1
1949,1
1946,5
1944,1
1943,1

