pubmed - "Yellow fever"
year,count
2019,136
2018,377
2017,322
2016,262
2015,220
2014,226
2013,219
2012,166
2011,176
2010,173
2009,158
2008,144
2007,140
2006,129
2005,126
2004,116
2003,127
2002,108
2001,127
2000,90
1999,108
1998,80
1997,74
1996,58
1995,63
1994,47
1993,72
1992,53
1991,41
1990,52
1989,57
1988,47
1987,52
1986,67
1985,53
1984,49
1983,43
1982,41
1981,56
1980,35
1979,43
1978,42
1977,38
1976,47
1975,48
1974,36
1973,54
1972,68
1971,49
1970,55
1969,55
1968,72
1967,41
1966,52
1965,39
1964,32
1963,33
1962,25
1961,15
1960,26
1959,25
1958,34
1957,27
1956,19
1955,37
1954,30
1953,33
1952,39
1951,91
1950,51
1949,12
1948,20
1947,21
1946,33
1945,17
1944,3
1943,3
1942,3
1941,1
1940,3
1939,3
1938,5
1937,9
1936,2
1934,2
1933,6
1932,4
1931,5
1930,12
1929,16
1928,9
1927,3
1925,2
1923,1
1922,4
1921,3
1920,7
1919,9
1916,1
1915,2
1914,2
1913,2
1912,4
1911,4
1910,4
1909,2
1908,1
1907,1
1906,13
1905,11
1904,5
1903,11
1902,6
1901,10
1900,8
1899,6
1898,5
1897,7
1896,4
1895,2
1894,3
1893,2
1892,5
1891,1
1890,1
1889,4
1888,5
1886,2
1885,2
1883,1
1882,1
1881,2
1880,7
1879,7
1878,11
1876,1
1875,3
1873,5
1871,1
1869,1
1868,1
1867,1
1865,3
1864,4
1863,2
1862,4
1860,2
1859,1
1856,3
1855,1
1853,2
1852,2
1851,1
1850,1
1849,1
1847,1
1845,1
1844,1
1841,1
1840,1
1831,3
1828,1
1826,1
1825,1
1823,3
1822,3
1821,2
1818,2
1817,5
1816,1
1815,1
1813,1
1812,2
1811,2
1808,1
1807,1
1806,6
1805,6
1803,4
1800,1
1797,1

